run,train_start,train_end,test_start,test_end,train_rows,test_rows,mae_internal_rh_pct,rmse_internal_rh_pct,r2_internal_rh_pct
47,2025-05-29 01:00:00,2025-07-25 01:20:00,2025-07-25 01:30:00,2025-07-26 01:20:00,8208,144,2.4650819506852892,2.7715035186929686,0.8592453167374113
48,2025-05-29 01:00:00,2025-07-26 01:20:00,2025-07-26 01:30:00,2025-07-27 01:20:00,8352,144,1.1434739603797064,1.4837034316108968,0.9754812537222035
49,2025-05-29 01:00:00,2025-07-27 01:20:00,2025-07-27 01:30:00,2025-07-28 01:20:00,8496,144,1.6911170590023472,2.1109072647212868,0.9700846238000487
50,2025-05-29 01:00:00,2025-07-28 01:20:00,2025-07-28 01:30:00,2025-07-29 01:20:00,8640,144,1.0860964440748428,1.416880324384115,0.9852191806877216
51,2025-05-29 01:00:00,2025-07-29 01:20:00,2025-07-29 01:30:00,2025-07-30 01:20:00,8784,144,1.622837787428114,1.9502037478378647,0.968055958264431
52,2025-05-29 01:00:00,2025-07-30 01:20:00,2025-07-30 01:30:00,2025-07-31 01:20:00,8928,144,2.0911040762227384,2.609489504506824,0.935850320290931
53,2025-05-29 01:00:00,2025-07-31 01:20:00,2025-07-31 01:30:00,2025-08-01 01:30:00,9072,144,1.2954165801493331,1.6898474238278016,0.9663051330231428
54,2025-05-29 01:00:00,2025-08-01 01:30:00,2025-08-01 01:40:00,2025-08-02 02:40:00,9216,144,1.2731638111216226,1.6467817407350778,0.9655757267731012
55,2025-05-29 01:00:00,2025-08-02 02:40:00,2025-08-02 02:50:00,2025-08-03 02:40:00,9360,144,1.533882868440416,2.009351547909597,0.9532993073563424
56,2025-05-29 01:00:00,2025-08-03 02:40:00,2025-08-03 02:50:00,2025-08-04 02:40:00,9504,144,1.1401999531266955,1.513897738542578,0.9730511782279394
57,2025-05-29 01:00:00,2025-08-04 02:40:00,2025-08-04 02:50:00,2025-08-05 02:40:00,9648,144,1.5650227617696126,1.9947544412622555,0.938370675734076
58,2025-05-29 01:00:00,2025-08-05 02:40:00,2025-08-05 02:50:00,2025-08-06 02:40:00,9792,144,1.358487871051364,1.866327570355213,0.9506213875252356
59,2025-05-29 01:00:00,2025-08-06 02:40:00,2025-08-06 02:50:00,2025-08-07 02:40:00,9936,144,1.217847228661432,1.541016522305667,0.9676365526531309
60,2025-05-29 01:00:00,2025-08-07 02:40:00,2025-08-07 02:50:00,2025-08-08 02:40:00,10080,144,1.23559521870931,1.5444196710629117,0.9784494924541387
61,2025-05-29 01:00:00,2025-08-08 02:40:00,2025-08-08 02:50:00,2025-08-09 02:40:00,10224,144,1.898308211688571,2.3468333134081147,0.9482157853067593
62,2025-05-29 01:00:00,2025-08-09 02:40:00,2025-08-09 02:50:00,2025-08-10 02:40:00,10368,144,1.0774440136595382,1.3609002670553514,0.9781660407831259
63,2025-05-29 01:00:00,2025-08-10 02:40:00,2025-08-10 02:50:00,2025-08-11 02:40:00,10512,144,6.263179702566123,9.342988609656466,0.548097096848084
64,2025-05-29 01:00:00,2025-08-11 02:40:00,2025-08-11 02:50:00,2025-08-12 02:40:00,10656,144,4.729111293720364,6.327212338304911,0.8272927615534673
65,2025-05-29 01:00:00,2025-08-12 02:40:00,2025-08-12 02:50:00,2025-08-13 02:40:00,10800,144,7.454375031369709,9.197617641093835,0.24838575716253575
66,2025-05-29 01:00:00,2025-08-13 02:40:00,2025-08-13 02:50:00,2025-08-14 02:40:00,10944,144,3.4088526424821235,4.720689712113273,0.8351211860615977
67,2025-05-29 01:00:00,2025-08-14 02:40:00,2025-08-14 02:50:00,2025-08-15 02:40:00,11088,144,3.01667348129752,4.110946955698943,0.916324408965528
68,2025-05-29 01:00:00,2025-08-15 02:40:00,2025-08-15 02:50:00,2025-08-16 02:40:00,11232,144,3.655380756496003,4.659078843876241,0.9121619270145083
69,2025-05-29 01:00:00,2025-08-16 02:40:00,2025-08-16 02:50:00,2025-08-17 02:40:00,11376,144,3.753222358304891,4.546884809093877,0.6702749503728411
70,2025-05-29 01:00:00,2025-08-17 02:40:00,2025-08-17 02:50:00,2025-08-18 02:40:00,11520,144,5.0813747230742825,6.071950398803443,0.6695059785820359
71,2025-05-29 01:00:00,2025-08-18 02:40:00,2025-08-18 02:50:00,2025-08-19 02:40:00,11664,144,3.9108383029729086,5.227287837789291,0.7674665888370751
72,2025-05-29 01:00:00,2025-08-19 02:40:00,2025-08-19 02:50:00,2025-08-20 02:40:00,11808,144,2.2521126407929537,2.9002422707023716,0.9135481100490804
73,2025-05-29 01:00:00,2025-08-20 02:40:00,2025-08-20 02:50:00,2025-08-21 02:40:00,11952,144,1.8299811626137834,2.4638318753379442,0.9503183851342615
74,2025-05-29 01:00:00,2025-08-21 02:40:00,2025-08-21 02:50:00,2025-08-22 02:40:00,12096,144,2.067266690456363,2.5967039099988543,0.9539784373287379
75,2025-05-29 01:00:00,2025-08-22 02:40:00,2025-08-22 02:50:00,2025-08-23 02:40:00,12240,144,2.2574974015823237,2.8178605396578544,0.9330681830563395
76,2025-05-29 01:00:00,2025-08-23 02:40:00,2025-08-23 02:50:00,2025-08-24 02:40:00,12384,144,3.3534505778003365,4.034998400218981,0.7905627340443226
77,2025-05-29 01:00:00,2025-08-24 02:40:00,2025-08-24 02:50:00,2025-08-25 02:40:00,12528,144,2.1913011437545356,2.9576793030501904,0.903359999832084
78,2025-05-29 01:00:00,2025-08-25 02:40:00,2025-08-25 02:50:00,2025-08-26 02:40:00,12672,144,3.82623509152198,4.56308932968321,0.6819818927358801
79,2025-05-29 01:00:00,2025-08-26 02:40:00,2025-08-26 02:50:00,2025-08-27 02:40:00,12816,144,3.146412303383229,4.411387247786927,0.7711921671744372
80,2025-05-29 01:00:00,2025-08-27 02:40:00,2025-08-27 02:50:00,2025-08-28 12:00:00,12960,144,3.768035002064787,4.471804234338864,0.5486553834982492
81,2025-05-29 01:00:00,2025-08-28 12:00:00,2025-08-28 12:10:00,2025-08-29 12:00:00,13104,144,3.268856456791379,4.325568960685912,0.5835685522398952
82,2025-05-29 01:00:00,2025-08-29 12:00:00,2025-08-29 12:10:00,2025-08-30 12:00:00,13248,144,3.8249693887600764,5.060344743053619,0.7288893240665233
83,2025-05-29 01:00:00,2025-08-30 12:00:00,2025-08-30 12:10:00,2025-08-31 12:00:00,13392,144,4.346102379609561,5.2068174626287345,0.6974662524521624
84,2025-05-29 01:00:00,2025-08-31 12:00:00,2025-08-31 12:10:00,2025-09-01 12:00:00,13536,144,4.468480585172025,5.150374011903478,0.7002144827809527
85,2025-05-29 01:00:00,2025-09-01 12:00:00,2025-09-01 12:10:00,2025-09-02 12:00:00,13680,144,2.5387643078499993,3.1886549584855377,0.8916080019894155
86,2025-05-29 01:00:00,2025-09-02 12:00:00,2025-09-02 12:10:00,2025-09-03 12:00:00,13824,144,1.697808230618938,2.287833866948266,0.9450003260149586
87,2025-05-29 01:00:00,2025-09-03 12:00:00,2025-09-03 12:10:00,2025-09-04 12:00:00,13968,144,2.1624869829105666,2.667467254960518,0.9224206548281717
88,2025-05-29 01:00:00,2025-09-04 12:00:00,2025-09-04 12:10:00,2025-09-05 12:00:00,14112,144,3.211008011053118,3.9005883762418314,0.7855474045084706
89,2025-05-29 01:00:00,2025-09-05 12:00:00,2025-09-05 12:10:00,2025-09-06 12:00:00,14256,144,2.5370620160339103,3.4170282259269555,0.8917304709644096
90,2025-05-29 01:00:00,2025-09-06 12:00:00,2025-09-06 12:10:00,2025-09-07 12:00:00,14400,144,2.03012894551448,2.6463997280043836,0.9076468465062713
91,2025-05-29 01:00:00,2025-09-07 12:00:00,2025-09-07 12:10:00,2025-09-08 12:00:00,14544,144,2.6998133848771584,3.342641725832494,0.806877956816072
92,2025-05-29 01:00:00,2025-09-08 12:00:00,2025-09-08 12:10:00,2025-09-09 12:00:00,14688,144,2.923221799261768,3.7874671460986162,0.8165741399570008
93,2025-05-29 01:00:00,2025-09-09 12:00:00,2025-09-09 12:10:00,2025-09-10 12:00:00,14832,144,1.38308084150067,1.9095333554119822,0.9516517116044487
94,2025-05-29 01:00:00,2025-09-10 12:00:00,2025-09-10 12:10:00,2025-09-11 15:10:00,14976,144,4.3196299284668465,6.349904521552465,0.38873686016860987
95,2025-05-29 01:00:00,2025-09-11 15:10:00,2025-09-11 15:20:00,2025-09-12 15:10:00,15120,144,8.240471260132011,10.452767693555774,0.44580908796618224
96,2025-05-29 01:00:00,2025-09-12 15:10:00,2025-09-12 15:20:00,2025-09-13 15:10:00,15264,144,4.775723841413415,5.572693036224125,0.8253590817567978
97,2025-05-29 01:00:00,2025-09-13 15:10:00,2025-09-13 15:20:00,2025-09-14 15:10:00,15408,144,3.4658381052483556,4.136717086815931,0.9106013657915223
98,2025-05-29 01:00:00,2025-09-14 15:10:00,2025-09-14 15:20:00,2025-09-15 15:10:00,15552,144,4.365544226339663,5.6268731775954794,0.6791503594293076
99,2025-05-29 01:00:00,2025-09-15 15:10:00,2025-09-15 15:20:00,2025-09-16 15:10:00,15696,144,4.612759005372528,6.372442238263031,0.6352911854470804
100,2025-05-29 01:00:00,2025-09-16 15:10:00,2025-09-16 15:20:00,2025-09-17 15:10:00,15840,144,5.294027738843482,6.814832285349019,0.692683011587559
101,2025-05-29 01:00:00,2025-09-17 15:10:00,2025-09-17 15:20:00,2025-09-18 18:20:00,15984,144,7.610571853904086,9.029888455241641,0.22726670365129942
102,2025-05-29 01:00:00,2025-09-18 18:20:00,2025-09-18 18:30:00,2025-09-19 18:20:00,16128,144,3.222183837859861,4.233569178878528,0.7882438422244588
103,2025-05-29 01:00:00,2025-09-19 18:20:00,2025-09-19 18:30:00,2025-09-20 18:20:00,16272,144,4.759742477844238,6.580216328373039,0.5341798781232052
104,2025-05-29 01:00:00,2025-09-20 18:20:00,2025-09-20 18:30:00,2025-09-21 18:20:00,16416,144,3.1694133714701334,4.267621013492686,0.8815680191630499
