run,train_start,train_end,test_start,test_end,train_rows,test_rows,mae_internal_air_temp_c,rmse_internal_air_temp_c,r2_internal_air_temp_c,mae_internal_radiation,rmse_internal_radiation,r2_internal_radiation,mae_ET0,rmse_ET0,r2_ET0
24,2025-05-29 01:30:00,2025-07-02 01:40:00,2025-07-02 01:50:00,2025-07-03 01:40:00,4896,144,0.27800226834580166,0.35461899564093635,0.9934761341006033,15.264109126929327,25.881055499281484,0.9929862828156728,0.014886501760738611,0.02177555986503758,0.991556520252021
25,2025-05-29 01:30:00,2025-07-03 01:40:00,2025-07-03 01:50:00,2025-07-04 01:40:00,5040,144,0.26500241696766175,0.3603532975416877,0.9924262524655225,12.022353696627313,20.316663851058905,0.993988697453877,0.01029375912998328,0.016078758029073825,0.9943736213965118
26,2025-05-29 01:30:00,2025-07-04 01:40:00,2025-07-04 01:50:00,2025-07-05 01:40:00,5184,144,0.27990857955690035,0.34939427727916167,0.99302535556877,16.894511527547202,30.523358285117695,0.986447304707535,0.011968515145546905,0.01988980229706092,0.9915665102339022
27,2025-05-29 01:30:00,2025-07-05 01:40:00,2025-07-05 01:50:00,2025-07-06 01:40:00,5328,144,0.4443592715315894,0.5602847938645019,0.9813687598002631,33.84334060815898,56.163976132696924,0.948925741622647,0.00964591270351921,0.015751414109536555,0.9953102282303098
28,2025-05-29 01:30:00,2025-07-06 01:40:00,2025-07-06 01:50:00,2025-07-07 01:40:00,5472,144,0.27197560938712834,0.4148521688856068,0.9894148229023476,29.212763249099844,33.44818648865733,0.979125577248498,0.009012228285518875,0.016339772096226435,0.9944956423897983
29,2025-05-29 01:30:00,2025-07-07 01:40:00,2025-07-07 01:50:00,2025-07-08 01:40:00,5616,144,0.25846429285100847,0.3163193309718688,0.9927824115367949,23.512163336038533,35.0809910391047,0.9767498485081233,0.006563044634160274,0.010690773618496258,0.9974390949330093
30,2025-05-29 01:30:00,2025-07-08 01:40:00,2025-07-08 01:50:00,2025-07-09 01:40:00,5760,144,0.19545294857046114,0.2678058753357351,0.9950305220679075,16.286813743398252,23.943113312455026,0.9914685760249012,0.008768072294028144,0.014406614182624247,0.9953846020499698
31,2025-05-29 01:30:00,2025-07-09 01:40:00,2025-07-09 01:50:00,2025-07-10 01:40:00,5904,144,0.18230178161649863,0.23265450981722824,0.9969125082291944,14.685207893608025,25.543995540583058,0.9874194097409195,0.007503904206698563,0.012184967166677127,0.996751924134396
32,2025-05-29 01:30:00,2025-07-10 01:40:00,2025-07-10 01:50:00,2025-07-11 01:40:00,6048,144,0.2413556488545412,0.351718812860442,0.99273784470396,23.092682605152447,35.639574877584444,0.9785969013142478,0.016240785154857735,0.027848743570542067,0.9818956732177123
33,2025-05-29 01:30:00,2025-07-11 01:40:00,2025-07-11 01:50:00,2025-07-12 01:40:00,6192,144,0.3597406271551645,0.4250080123156876,0.987568469415733,15.688435519232021,27.273216676892172,0.9914773355726239,0.013227848729299926,0.02102239114043667,0.9917535652833359
34,2025-05-29 01:30:00,2025-07-12 01:40:00,2025-07-12 01:50:00,2025-07-13 01:40:00,6336,144,0.35160218778692426,0.44008925457193543,0.9877807963216757,16.761009135770834,27.446150169887467,0.9915254976536665,0.012600809056070235,0.01844722479110647,0.9935770551117707
